attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
'echo%20koompk$((13%2b41))$(echo%20koompk)koompk	M	L	L	L	M	M	L	M	
'%20echo%20mjnnew$((18%2b53))$(echo%20mjnnew)mjnnew	M	L	L	L	M	M	L	M	
';echo%20htpokc$((39%2b32))$(echo%20htpokc)htpokc	M	L	L	L	M	M	L	M	
'&echo%20clyxgn$((72%2b81))$(echo%20clyxgn)clyxgn	M	L	L	L	M	M	L	M	
'|echo%20ctnhmn$((74%2b58))$(echo%20ctnhmn)ctnhmn	M	L	L	L	M	M	L	M	
'||echo%20townyh$((45%2b79))$(echo%20townyh)townyh	M	L	L	L	M	M	L	M	
'&&echo%20kyoisy$((63%2b3))$(echo%20kyoisy)kyoisy	M	L	L	L	M	M	L	M	
'%0aecho%20eiocxk$((27%2b80))$(echo%20eiocxk)eiocxk	M	L	L	L	M	M	L	M	
'%3becho%20lmkoms$((85%2b51))$(echo%20lmkoms)lmkoms	M	L	L	L	M	M	L	M	
'%26echo%20xizqeh$((78%2b28))$(echo%20xizqeh)xizqeh	M	L	L	L	M	M	L	M	
'%26%26echo%20akflie$((27%2b64))$(echo%20akflie)akflie	H	L	L	L	M	M	L	M	
'%7cecho%20totslg$((60%2b1))$(echo%20totslg)totslg	M	L	L	L	M	M	L	M	
'%7c%7cecho%20dvamsg$((74%2b5))$(echo%20dvamsg)dvamsg	H	L	L	L	M	M	L	M	
'echo%20ggrvqx$((86%2b56))$(echo%20ggrvqx)ggrvqx//	M	L	L	L	M	M	L	M	
'%20echo%20wwhrdz$((5%2b86))$(echo%20wwhrdz)wwhrdz//	M	L	L	L	M	M	L	M	
';echo%20ydsnxz$((29%2b43))$(echo%20ydsnxz)ydsnxz//	M	L	L	L	M	M	L	M	
'&echo%20brxzkx$((10%2b84))$(echo%20brxzkx)brxzkx//	M	L	L	L	M	M	L	M	
'|echo%20zmccdq$((18%2b56))$(echo%20zmccdq)zmccdq//	M	L	L	L	M	M	L	M	
'||echo%20xnzlsa$((34%2b75))$(echo%20xnzlsa)xnzlsa//	M	L	L	L	M	M	L	M	
'&&echo%20skrkxo$((18%2b5))$(echo%20skrkxo)skrkxo//	M	L	L	L	M	M	L	M	
'%0aecho%20wiruwf$((87%2b88))$(echo%20wiruwf)wiruwf//	M	L	L	L	M	M	L	M	
'%3becho%20lihhvf$((18%2b45))$(echo%20lihhvf)lihhvf//	M	L	L	L	M	M	L	M	
'%26echo%20vdquyj$((41%2b46))$(echo%20vdquyj)vdquyj//	M	L	L	L	M	M	L	M	
'%26%26echo%20ekwzhx$((96%2b4))$(echo%20ekwzhx)ekwzhx//	H	L	L	L	M	M	L	M	
'%7cecho%20lljknh$((3%2b88))$(echo%20lljknh)lljknh//	M	L	L	L	M	M	L	M	
'%7c%7cecho%20cnslvn$((6%2b10))$(echo%20cnslvn)cnslvn//	H	L	L	L	M	M	L	M	
